user_being_followed_id,user_following_id
282,65
109,158
252,139
167,155
232,213
103,59
259,243
277,98
214,152
94,2
3,115
198,144
14,172
31,182
27,108
246,35
10,208
279,174
26,228
172,212
227,287
135,242
239,245
232,243
87,268
129,121
6,98
31,180
176,72
55,262
180,151
168,293
110,72
117,156
209,67
110,15
232,119
227,41
171,277
86,285
179,272
57,27
182,230
58,270
283,70
151,147
238,294
52,55
4,30
12,279
86,168
132,142
189,105
197,17
43,237
279,106
282,74
245,199
62,159
201,223
166,232
39,86
283,215
15,16
76,201
217,60
171,20
92,74
240,189
160,193
272,143
192,201
275,66
221,237
155,162
144,89
109,232
201,63
268,237
175,197
176,104
177,99
230,280
132,165
152,224
200,187
275,182
251,177
224,36
148,13
262,91
263,216
293,194
141,165
153,60
48,166
60,122
59,159
136,206
132,277
180,186
59,133
38,289
1,234
26,56
7,100
126,39
234,27
130,23
98,11
23,288
168,238
260,298
238,9
1,45
272,298
86,297
82,195
140,57
108,253
161,42
282,2
146,156
138,96
54,213
216,15
177,292
168,300
117,30
263,166
177,189
15,97
219,183
31,135
61,231
111,292
175,34
57,105
157,124
65,151
195,191
158,232
278,233
168,107
154,194
258,192
4,142
55,161
75,18
120,202
288,152
144,162
192,30
14,24
162,45
51,271
223,100
153,290
153,184
168,246
76,67
113,213
281,19
220,201
80,207
188,33
217,33
91,198
8,210
4,210
271,178
300,151
209,90
187,84
33,85
158,299
224,178
30,253
33,8
71,80
253,167
27,28
288,60
185,30
189,143
52,156
99,46
20,10
26,85
223,281
176,160
92,75
71,202
277,292
258,270
62,160
149,265
116,173
216,176
118,86
70,116
5,129
186,5
135,27
290,190
278,104
243,298
287,164
173,51
155,200
122,214
47,11
110,137
295,206
270,122
2,21
113,230
27,227
79,177
102,184
56,220
284,170
88,98
94,187
209,101
255,180
111,27
83,200
26,210
105,153
137,155
148,183
273,196
237,271
8,281
240,39
208,87
137,160
235,103
61,95
118,36
241,299
289,68
17,78
254,97
133,194
170,212
246,57
269,238
273,74
60,247
250,257
273,193
254,59
280,196
109,272
73,109
117,236
124,162
93,287
28,16
50,8
4,7
49,80
66,215
204,299
59,162
165,125
65,76
70,300
295,102
32,60
108,165
257,172
86,84
74,221
238,58
53,185
147,176
118,69
6,283
128,79
161,58
21,215
258,40
73,213
8,107
183,56
78,180
152,294
97,220
43,40
258,10
260,290
256,135
183,230
102,8
33,188
58,282
185,286
298,160
246,171
109,16
119,287
292,160
1,89
15,190
140,206
209,241
97,77
57,168
145,4
257,253
214,215
149,111
229,175
138,267
30,99
173,16
196,296
76,230
252,15
191,252
247,41
212,166
135,174
156,212
217,26
62,253
248,92
53,51
201,249
246,242
12,245
184,16
176,129
103,237
245,27
190,144
59,186
5,37
190,189
256,21
274,224
86,235
35,204
275,267
35,51
28,210
147,88
24,126
117,179
21,63
2,209
10,112
122,216
4,238
82,49
181,257
148,146
208,171
67,17
90,251
83,155
243,106
298,240
120,239
79,81
6,136
278,74
6,2
224,70
106,192
90,45
120,87
270,18
217,155
12,256
120,35
121,205
26,60
130,143
38,226
52,79
286,298
255,210
69,10
147,34
246,95
26,98
285,45
272,98
17,149
51,286
27,128
26,96
233,268
90,59
258,260
110,208
300,87
104,2
44,21
293,155
7,163
143,295
59,95
127,232
174,237
158,235
275,216
49,191
58,244
70,134
229,75
36,255
32,129
18,227
143,255
115,128
28,141
38,228
182,223
278,199
255,263
247,130
154,249
173,83
38,49
211,218
244,10
274,50
125,231
296,213
188,216
263,141
276,175
245,190
139,88
213,226
98,196
292,215
274,239
147,43
63,175
247,82
54,79
87,194
204,61
267,162
78,6
187,297
220,23
143,274
165,197
22,62
211,219
69,35
68,9
122,50
94,254
194,298
57,225
265,172
50,41
294,159
62,49
285,177
258,28
285,294
252,208
276,162
234,108
55,115
224,150
204,223
196,262
129,208
283,202
125,22
25,276
179,37
138,272
265,94
19,275
197,149
19,139
222,12
204,26
87,98
212,63
241,274
154,94
232,41
230,68
203,103
290,43
282,92
231,58
135,248
171,21
120,225
16,284
131,277
266,95
74,219
284,147
99,276
204,190
239,201
138,74
48,50
276,265
136,271
242,208
78,20
113,184
31,266
90,188
276,156
53,24
92,277
252,179
240,98
252,214
143,192
266,106
251,121
199,244
167,39
95,30
222,298
132,33
145,28
220,49
13,81
259,253
137,148
77,122
77,93
17,170
89,228
103,215
106,255
26,140
208,73
157,260
203,245
123,125
250,127
138,116
102,159
181,242
12,50
216,44
1,123
234,68
276,210
37,289
94,125
154,245
54,289
140,30
7,52
224,83
185,141
156,282
53,227
277,210
176,225
232,4
9,34
289,117
97,154
203,200
139,96
30,258
15,73
38,146
128,163
245,76
160,190
16,197
125,122
225,256
161,36
15,101
47,144
25,260
6,273
76,226
125,293
24,112
189,153
180,279
127,216
48,11
248,36
49,169
2,198
266,269
104,143
248,188
122,269
37,60
163,174
172,75
120,231
299,118
291,262
272,163
261,238
238,31
46,179
227,68
100,182
251,275
219,124
88,257
220,125
149,210
21,214
267,191
112,239
251,141
180,271
236,135
89,175
270,203
238,93
244,43
275,218
30,190
65,143
156,264
109,278
185,159
239,67
284,46
89,267
129,231
90,27
264,57
40,289
152,212
248,17
24,38
241,202
263,243
295,29
212,6
75,95
169,255
240,274
33,111
222,146
176,131
16,91
91,143
44,200
59,253
59,43
279,123
201,259
157,63
126,185
16,237
247,103
12,235
81,74
165,59
179,106
234,245
46,291
205,75
249,199
105,133
255,49
255,256
23,175
33,220
41,212
284,22
109,288
124,243
258,107
231,60
8,271
258,12
209,167
119,86
199,38
89,96
291,60
80,99
39,23
140,49
11,284
119,217
15,121
83,250
291,10
184,114
29,11
249,10
16,168
112,209
214,140
250,272
128,86
118,1
91,52
15,136
125,178
48,145
225,122
21,260
64,123
112,34
71,27
25,127
31,212
198,101
295,132
280,164
205,163
120,254
74,224
254,211
15,26
18,60
113,154
76,15
109,10
6,236
130,209
193,233
139,186
172,74
37,247
187,144
183,38
89,238
283,194
99,153
105,211
297,252
202,113
176,90
107,226
151,74
287,212
91,173
296,115
180,38
70,196
279,288
259,27
51,152
104,37
262,200
117,274
58,237
102,250
260,131
19,91
202,224
146,91
206,278
75,105
80,201
123,173
32,146
290,278
97,58
131,146
195,154
54,126
203,176
26,191
300,274
17,223
136,2
269,229
18,142
259,44
106,229
56,279
80,139
7,41
38,97
128,226
173,69
263,299
25,52
204,293
86,169
91,92
31,106
208,143
286,132
147,300
125,36
23,236
193,41
26,161
230,18
253,88
205,239
22,156
280,8
194,265
227,35
213,52
105,152
209,150
51,49
189,176
130,210
139,105
32,49
234,110
249,53
245,81
12,280
202,8
47,126
263,200
29,202
287,104
188,116
198,237
15,255
20,207
